"TokenNumber","TokenPadded","Title","WorkID","Range","SourceImagePath","SourceBytes","ImagePath","ImageFileName","DestinationImagePath","ItemPage","PublicPageURL","OpenSeaItemURL","Status","Note"
"9001","9001","Light Cult Crypto Club #9001","RE-010811","9001-9100","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-010811.jpg","56389","images/9001-9100/RE-010811.jpg","RE-010811.jpg","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-010811.jpg","items/lccc-9001.html","https://ronenglish-archive.github.io/ron-english-light-cult-9001-10000/items/lccc-9001.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9001","OK",""
"9002","9002","Light Cult Crypto Club #9002","RE-010812","9001-9100","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-010812.jpg","70684","images/9001-9100/RE-010812.jpg","RE-010812.jpg","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-010812.jpg","items/lccc-9002.html","https://ronenglish-archive.github.io/ron-english-light-cult-9001-10000/items/lccc-9002.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9002","OK",""
"9003","9003","Light Cult Crypto Club #9003","RE-010813","9001-9100","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-010813.jpg","126042","images/9001-9100/RE-010813.jpg","RE-010813.jpg","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-010813.jpg","items/lccc-9003.html","https://ronenglish-archive.github.io/ron-english-light-cult-9001-10000/items/lccc-9003.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9003","OK",""
"9004","9004","Light Cult Crypto Club #9004","RE-010814","9001-9100","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-010814.jpg","126890","images/9001-9100/RE-010814.jpg","RE-010814.jpg","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-010814.jpg","items/lccc-9004.html","https://ronenglish-archive.github.io/ron-english-light-cult-9001-10000/items/lccc-9004.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9004","OK",""
"9005","9005","Light Cult Crypto Club #9005","RE-010815","9001-9100","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-010815.jpg","128706","images/9001-9100/RE-010815.jpg","RE-010815.jpg","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-010815.jpg","items/lccc-9005.html","https://ronenglish-archive.github.io/ron-english-light-cult-9001-10000/items/lccc-9005.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9005","OK",""
"9006","9006","Light Cult Crypto Club #9006","RE-010816","9001-9100","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-010816.jpg","57039","images/9001-9100/RE-010816.jpg","RE-010816.jpg","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-010816.jpg","items/lccc-9006.html","https://ronenglish-archive.github.io/ron-english-light-cult-9001-10000/items/lccc-9006.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9006","OK",""
"9007","9007","Light Cult Crypto Club #9007","RE-010817","9001-9100","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-010817.jpg","50584","images/9001-9100/RE-010817.jpg","RE-010817.jpg","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-010817.jpg","items/lccc-9007.html","https://ronenglish-archive.github.io/ron-english-light-cult-9001-10000/items/lccc-9007.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9007","OK",""
"9008","9008","Light Cult Crypto Club #9008","RE-010818","9001-9100","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-010818.jpg","75278","images/9001-9100/RE-010818.jpg","RE-010818.jpg","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-010818.jpg","items/lccc-9008.html","https://ronenglish-archive.github.io/ron-english-light-cult-9001-10000/items/lccc-9008.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9008","OK",""
"9009","9009","Light Cult Crypto Club #9009","RE-010819","9001-9100","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-010819.jpg","76392","images/9001-9100/RE-010819.jpg","RE-010819.jpg","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-010819.jpg","items/lccc-9009.html","https://ronenglish-archive.github.io/ron-english-light-cult-9001-10000/items/lccc-9009.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9009","OK",""
"9010","9010","Light Cult Crypto Club #9010","RE-010820","9001-9100","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-010820.jpg","56431","images/9001-9100/RE-010820.jpg","RE-010820.jpg","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-010820.jpg","items/lccc-9010.html","https://ronenglish-archive.github.io/ron-english-light-cult-9001-10000/items/lccc-9010.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/9010","OK",""
