"WorkID","Series","AlphabeticalPosition","RepoName","RepoRange","GalleryPage","GalleryRange","GeneratedImageFileName","GeneratedImageRelativePath","OriginalFileName","SourcePath","RepoImagePath","OriginalExtension","GeneratedExtension","SizeKB"
"RE-010811","Light Cult Crypto Club","9001","ron-english-light-cult-9001-10000","9001-10000","gallery-9001-9100.html","9001-9100","RE-010811.jpg","images/9001-9100/RE-010811.jpg","XHDZT6IV__8579 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\XHDZT6IV__8579 - Light Cult Crypto Club.JPG","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-010811.jpg",".JPG",".jpg","55.1"
"RE-010812","Light Cult Crypto Club","9002","ron-english-light-cult-9001-10000","9001-10000","gallery-9001-9100.html","9001-9100","RE-010812.jpg","images/9001-9100/RE-010812.jpg","XHIGS3TX__6399 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\XHIGS3TX__6399 - Light Cult Crypto Club.JPG","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-010812.jpg",".JPG",".jpg","69"
"RE-010813","Light Cult Crypto Club","9003","ron-english-light-cult-9001-10000","9001-10000","gallery-9001-9100.html","9001-9100","RE-010813.jpg","images/9001-9100/RE-010813.jpg","XHJ5UISP__3850 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\XHJ5UISP__3850 - Light Cult Crypto Club.JPG","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-010813.jpg",".JPG",".jpg","123.1"
"RE-010814","Light Cult Crypto Club","9004","ron-english-light-cult-9001-10000","9001-10000","gallery-9001-9100.html","9001-9100","RE-010814.jpg","images/9001-9100/RE-010814.jpg","XHK9SZN7__9183 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\XHK9SZN7__9183 - Light Cult Crypto Club.JPG","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-010814.jpg",".JPG",".jpg","123.9"
"RE-010815","Light Cult Crypto Club","9005","ron-english-light-cult-9001-10000","9001-10000","gallery-9001-9100.html","9001-9100","RE-010815.jpg","images/9001-9100/RE-010815.jpg","XHPS73XH__4888 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\XHPS73XH__4888 - Light Cult Crypto Club.JPG","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-010815.jpg",".JPG",".jpg","125.7"
"RE-010816","Light Cult Crypto Club","9006","ron-english-light-cult-9001-10000","9001-10000","gallery-9001-9100.html","9001-9100","RE-010816.jpg","images/9001-9100/RE-010816.jpg","XHQ93ZLS__3168 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\XHQ93ZLS__3168 - Light Cult Crypto Club.JPG","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-010816.jpg",".JPG",".jpg","55.7"
"RE-010817","Light Cult Crypto Club","9007","ron-english-light-cult-9001-10000","9001-10000","gallery-9001-9100.html","9001-9100","RE-010817.jpg","images/9001-9100/RE-010817.jpg","XHQJ7FY4__5414 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\XHQJ7FY4__5414 - Light Cult Crypto Club.JPG","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-010817.jpg",".JPG",".jpg","49.4"
"RE-010818","Light Cult Crypto Club","9008","ron-english-light-cult-9001-10000","9001-10000","gallery-9001-9100.html","9001-9100","RE-010818.jpg","images/9001-9100/RE-010818.jpg","XHTJXL9W__6671 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\XHTJXL9W__6671 - Light Cult Crypto Club.JPG","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-010818.jpg",".JPG",".jpg","73.5"
"RE-010819","Light Cult Crypto Club","9009","ron-english-light-cult-9001-10000","9001-10000","gallery-9001-9100.html","9001-9100","RE-010819.jpg","images/9001-9100/RE-010819.jpg","XHWTF5RA__3522 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\XHWTF5RA__3522 - Light Cult Crypto Club.JPG","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-010819.jpg",".JPG",".jpg","74.6"
"RE-010820","Light Cult Crypto Club","9010","ron-english-light-cult-9001-10000","9001-10000","gallery-9001-9100.html","9001-9100","RE-010820.jpg","images/9001-9100/RE-010820.jpg","XHYC5LRZ__8442 - Light Cult Crypto Club.JPG","E:\Zotero-organized-export\JPG-JPEG\Light Cult NFTs\XHYC5LRZ__8442 - Light Cult Crypto Club.JPG","D:\github\ron-english-light-cult-9001-10000\images\9001-9100\RE-010820.jpg",".JPG",".jpg","55.1"
